DATE,IPG3113N
8/1/1998,117.6285
9/1/1998,120.8694
10/1/1998,132.5965
11/1/1998,136.9103
12/1/1998,135.8842
1/1/1999,117.3162
2/1/1999,114.6336
3/1/1999,107.0534
4/1/1999,106.2332
5/1/1999,107.8054
6/1/1999,108.3124
7/1/1999,107.7982
8/1/1999,112.4947
9/1/1999,116.6403
10/1/1999,131.645
11/1/1999,131.762
12/1/1999,134.5654
1/1/2000,123.1307
2/1/2000,119.7387
3/1/2000,113.944
4/1/2000,115.9366
5/1/2000,108.705
6/1/2000,114.1865
7/1/2000,111.8502
8/1/2000,117.8758
9/1/2000,125.6211
10/1/2000,136.7841
11/1/2000,135.6035
12/1/2000,138.6749
1/1/2001,122.5523
2/1/2001,121.8652
3/1/2001,118.5766
4/1/2001,114.679
5/1/2001,112.9189
6/1/2001,115.3177
7/1/2001,113.474
8/1/2001,119.659
9/1/2001,123.4923
10/1/2001,125.5041
11/1/2001,128.7022
12/1/2001,129.6254
1/1/2002,117.5314
2/1/2002,114.5022
3/1/2002,110.2696
4/1/2002,104.6559
5/1/2002,101.8143
6/1/2002,112.1796
7/1/2002,110.3714
8/1/2002,117.5073
9/1/2002,119.4746
10/1/2002,124.0366
11/1/2002,128.5837
12/1/2002,124.1994
1/1/2003,113.0569
2/1/2003,111.2146
3/1/2003,111.2595
4/1/2003,105.1961
5/1/2003,107.6504
6/1/2003,111.6932
7/1/2003,102.8624
8/1/2003,113.1314
9/1/2003,116.7651
10/1/2003,125.1005
11/1/2003,132.6658
12/1/2003,128.6644
1/1/2004,116.0268
2/1/2004,117.4936
3/1/2004,103.7528
4/1/2004,102.0621
5/1/2004,109.6807
6/1/2004,106.2147
7/1/2004,106.0787
8/1/2004,116.2523
9/1/2004,120.807
10/1/2004,132.4378
11/1/2004,133.3291
12/1/2004,130.2165
1/1/2005,124.8
2/1/2005,124.1635
3/1/2005,107.4495
4/1/2005,106.9623
5/1/2005,111.5758
6/1/2005,107.2551
7/1/2005,110.217
8/1/2005,114.7574
9/1/2005,119.5867
10/1/2005,136.922
11/1/2005,136.0434
12/1/2005,139.4553
1/1/2006,117.8115
2/1/2006,117.2928
3/1/2006,107.9168
4/1/2006,107.0953
5/1/2006,101.5948
6/1/2006,101.6437
7/1/2006,101.549
8/1/2006,112.0091
9/1/2006,119.9266
10/1/2006,129.9478
11/1/2006,130.8532
12/1/2006,132.6237
1/1/2007,122.3639
2/1/2007,117.0724
3/1/2007,113.1144
4/1/2007,99.7567
5/1/2007,98.2231
6/1/2007,94.9091
7/1/2007,91.2052
8/1/2007,100.4096
9/1/2007,109.7134
10/1/2007,115.4878
11/1/2007,117.954
12/1/2007,120.2295
1/1/2008,108.3783
2/1/2008,101.4978
3/1/2008,97.0188
4/1/2008,91.77
5/1/2008,88.9187
6/1/2008,89.0752
7/1/2008,85.2313
8/1/2008,88.6986
9/1/2008,103.424
10/1/2008,114.1803
11/1/2008,115.9428
12/1/2008,101.7851
1/1/2009,89.8737
2/1/2009,88.9209
3/1/2009,85.4691
4/1/2009,79.6033
5/1/2009,80.136
6/1/2009,79.4562
7/1/2009,82.2304
8/1/2009,89.0144
9/1/2009,101.1765
10/1/2009,123.7703
11/1/2009,117.2174
12/1/2009,116.729
1/1/2010,100.542
2/1/2010,99.1735
3/1/2010,92.0938
4/1/2010,89.5854
5/1/2010,90.0255
6/1/2010,89.5124
7/1/2010,96.4233
8/1/2010,106.68
9/1/2010,115.7266
10/1/2010,126.1147
11/1/2010,117.5556
12/1/2010,118.5801
1/1/2011,102.9242
2/1/2011,102.4238
3/1/2011,98.8713
4/1/2011,97.4356
5/1/2011,91.2978
6/1/2011,89.6496
7/1/2011,89.613
8/1/2011,91.9053
9/1/2011,93.9514
10/1/2011,116.8534
11/1/2011,116.9504
12/1/2011,115.108
1/1/2012,100.1206
2/1/2012,99.2108
3/1/2012,94.3146
4/1/2012,87.8448
5/1/2012,85.4797
6/1/2012,86.683
7/1/2012,89.5798
8/1/2012,98.2929
9/1/2012,112.1795
10/1/2012,114.7231
11/1/2012,115.7975
12/1/2012,115.7737
1/1/2013,106.671
2/1/2013,101.6045
3/1/2013,102.1904
4/1/2013,94.9246
5/1/2013,91.4226
6/1/2013,91.5543
7/1/2013,92.2867
8/1/2013,100.3684
9/1/2013,105.7177
10/1/2013,117.7928
11/1/2013,122.3068
12/1/2013,124.1418
1/1/2014,105.4654
2/1/2014,104.9389
3/1/2014,102.0681
4/1/2014,93.8916
5/1/2014,89.1534
6/1/2014,89.9568
7/1/2014,88.4429
8/1/2014,98.1274
9/1/2014,106.4908
10/1/2014,118.8043
11/1/2014,127.4414
12/1/2014,126.4155
1/1/2015,107.6571
2/1/2015,106.2873
3/1/2015,103.7155
4/1/2015,98.2731
5/1/2015,94.099
6/1/2015,98.1664
7/1/2015,100.4136
8/1/2015,113.7938
9/1/2015,114.6695
10/1/2015,126.6756
11/1/2015,125.5704
12/1/2015,122.2341
1/1/2016,111.8408
2/1/2016,112.4552
3/1/2016,113.0074
4/1/2016,109.1638
5/1/2016,107.2796
6/1/2016,107.7816
7/1/2016,108.3806
8/1/2016,110.5585
9/1/2016,116.3812
10/1/2016,127.7974
11/1/2016,124.1445
12/1/2016,123.381
1/1/2017,115.3858
2/1/2017,118.737
3/1/2017,109.254
